plant_family,plant_genus,plant_species,insect_family,insect_genus,insect_species,location,host_plant_name,insect_name
Fabaceae,Prosopis,,Acrolophidae,Acrolophus,nr. cressoni,Mexico,Prosopis,Acrolophus nr. cressoni
Elaeocarpaceae,Elaeocarpus,,Roeslerstammiidae,Amphithera,heteroleuca,Australia,Elaeocarpus,Amphithera heteroleuca
Rosaceae,Fragaria,,Acrolophidae,Acrolophus,arcanella,USA,Fragaria,Acrolophus arcanella
Elaeocarpaceae,Elaeocarpus,,Roeslerstammiidae,Agriothera,,Japan,Elaeocarpus,Agriothera
Rhamnaceae,Ceanothus,thyrsiflorus,Acanthopteroctetidae,Acanthopteroctetes,unifascia,USA,Ceanothus thyrsiflorus,Acanthopteroctetes unifascia
Oleaceae,Ligustrum,,Adelidae,Adela,croesella,British Isles,Ligustrum,Adela croesella
Asteraceae,Parthenium,hysterophorus,Acrolophidae,Acrolophus,,Mexico,Parthenium hysterophorus,Acrolophus
Oleaceae,Ligustrum,,Adelidae,Adela,croesella,Palaearctic,Ligustrum,Adela croesella
Poaceae,Zea,,Acrolophidae,Acrolophus,arcanella,Nearctic,Zea,Acrolophus arcanella
Plantaginaceae,Veronica,,Adelidae,Adela,fibulella,British Isles,Veronica,Adela fibulella
Salicaceae,Salix,,Adelidae,Adela,cuprella,British Isles,Salix,Adela cuprella
Rosaceae,Holodiscus,discolor,Adelidae,Adela,septentrionella,USA,Holodiscus discolor,Adela septentrionella
Fabaceae,Trifolium,pratense,Acrolophidae,Acrolophus,popeanella,Nearctic,Trifolium pratense,Acrolophus popeanella
Plantaginaceae,Veronica,chamaedrys,Adelidae,Adela,fibulella,British Isles,Veronica chamaedrys,Adela fibulella
Salicaceae,Salix,caprea,Adelidae,Adela,cuprella,Palaearctic,Salix caprea,Adela cuprella
Betulaceae,Betula,,Acrolophidae,Acrolophus,morus,Nearctic,Betula,Acrolophus morus
Hypericaceae,Hypericum,,Adelidae,Adela,violella,Palaearctic,Hypericum,Adela violella
Poaceae,Saccharum,officinarum,Acrolophidae,Acrolophus,sacchari,Guyana,Saccharum officinarum,Acrolophus sacchari
Brassicaceae,Cardamine,pratensis,Adelidae,Adela,rufimitrella,Palaearctic,Cardamine pratensis,Adela rufimitrella
Plantaginaceae,Veronica,chamaedrys,Adelidae,Adela,fibulella,Palaearctic,Veronica chamaedrys,Adela fibulella
Cornaceae,Cornus,,Adelidae,Chalceopla,dietziella,Nearctic,Cornus,Chalceopla dietziella
Elaeagnaceae,Hippophae,,Adelidae,Adela,croesella,British Isles,Hippophae,Adela croesella
Dipsacaceae,Scabiosa,,Adelidae,Nemophora,cupriacella,British Isles,Scabiosa,Nemophora cupriacella
Brassicaceae,Cardamine,pratensis,Adelidae,Adela,rufimitrella,British Isles,Cardamine pratensis,Adela rufimitrella
Rosaceae,Fragaria,,Acrolophidae,Acrolophus,plumifrontella,USA,Fragaria,Acrolophus plumifrontella
Dipsacaceae,Scabiosa,maritima,Adelidae,Nemophora,algeriensis,Palaearctic,Scabiosa maritima,Nemophora algeriensis
Fagaceae,Quercus,,Adelidae,Adela,reaumurella,Palaearctic,Quercus,Adela reaumurella
Hypericaceae,Hypericum,,Adelidae,Nemophora,dumeriliella,Palaearctic,Hypericum,Nemophora dumeriliella
Hypericaceae,Hypericum,perforatum,Adelidae,Adela,violella,British Isles,Hypericum perforatum,Adela violella
Poaceae,Zea,mays,Acrolophidae,Acrolophus,popeanella,Nearctic,Zea mays,Acrolophus popeanella
Hydrangeaceae,Hydrangea,paniculata,Adelidae,Nemophora,bifasciatella,Japan,Hydrangea paniculata,Nemophora bifasciatella
Dipsacaceae,Knautia,,Adelidae,Nemophora,cupriacella,British Isles,Knautia,Nemophora cupriacella
Dipsacaceae,Succisa,,Adelidae,Nemophora,minimella,British Isles,Succisa,Nemophora minimella
Crassulaceae,Sedum,,Adelidae,Chalceopla,sedella,Nearctic,Sedum,Chalceopla sedella
Rubiaceae,Rhachicallis,rupestris,Acrolophidae,Acrolophus,rupestris,Neotropical,Rhachicallis rupestris,Acrolophus rupestris
Dipsacaceae,Scabiosa,,Adelidae,Nemophora,metallica,British Isles,Scabiosa,Nemophora metallica
Asteraceae,Hieracium,,Adelidae,Nemophora,dumeriliella,Palaearctic,Hieracium,Nemophora dumeriliella
Araucariaceae,Agathis,,Agathiphagidae,Agathiphaga,queenslandensis,Australia,Agathis,Agathiphaga queenslandensis
Dipsacaceae,Dipsacus,fullonum,Adelidae,Nemophora,cupriacella,Palaearctic,Dipsacus fullonum,Nemophora cupriacella
Asteraceae,Parthenium,hysterophorus,Acrolophidae,Acrolophus,sp.,Mexico,Parthenium hysterophorus,Acrolophus sp.
Dipsacaceae,Knautia,arvensis,Adelidae,Nemophora,scabiosella,Palaearctic,Knautia arvensis,Nemophora scabiosella
Dipsacaceae,Dipsacus,,Adelidae,Nemophora,raddaella,Palaearctic,Dipsacus,Nemophora raddaella
Araucariaceae,Agathis,obtusa,Agathiphagidae,Agathiphaga,vitiensis,Vanuatu,Agathis obtusa,Agathiphaga vitiensis
Dipsacaceae,Scabiosa,,Adelidae,Nemophora,minimella,British Isles,Scabiosa,Nemophora minimella
Oleaceae,Fraxinus,,Adelidae,Adela,croesella,British Isles,Fraxinus,Adela croesella
Gentianaceae,Gentiana,pneumonanthe,Adelidae,Nemophora,violellus,Palaearctic,Gentiana pneumonanthe,Nemophora violellus
Pittosporaceae,Bursaria,,Adelidae,Nemophora,sparsella,Australia,Bursaria,Nemophora sparsella
Arecaceae,Chrysalidocarpus,lutescens,Agonoxenidae,Agonoxena,argaula,Hawaii,Chrysalidocarpus lutescens,Agonoxena argaula
Dipsacaceae,Scabiosa,columbaria,Adelidae,Nemophora,scabiosella,Palaearctic,Scabiosa columbaria,Nemophora scabiosella
Fabaceae,Acacia,,Adelidae,Ceromitia,iolampra,Australia,Acacia,Ceromitia iolampra
Araucariaceae,Agathis,vitiensis,Agathiphagidae,Agathiphaga,vitiensis,Fiji,Agathis vitiensis,Agathiphaga vitiensis
Gentianaceae,Gentiana,asclepiadea,Adelidae,Nemophora,violellus,Palaearctic,Gentiana asclepiadea,Nemophora violellus
Arecaceae,Cocos,nucifera,Agonoxenidae,Agonoxena,argaula,Fiji,Cocos nucifera,Agonoxena argaula
Fabaceae,Acacia,,Adelidae,Nemophora,topazias,Australia,Acacia,Nemophora topazias
Dipsacaceae,Succisa,,Adelidae,Nemophora,cupriacella,British Isles,Succisa,Nemophora cupriacella
Arecaceae,Cocos,nucifera,Agonoxenidae,Agonoxena,miniana,Indonesia,Cocos nucifera,Agonoxena miniana
Arecaceae,Veitchia,filifera,Agonoxenidae,Agonoxena,argaula,Fiji,Veitchia filifera,Agonoxena argaula
Arecaceae,Gronophyllum,,Agonoxenidae,Agonoxena,argaula,Hawaii,Gronophyllum,Agonoxena argaula
Araucariaceae,Agathis,robusta,Agathiphagidae,Agathiphaga,queenslandensis,Australia,Agathis robusta,Agathiphaga queenslandensis
Lamiaceae,Ballota,nigra,Adelidae,Nemophora,fasciella,Palaearctic,Ballota nigra,Nemophora fasciella
Arecaceae,Archontophoenix,alexandrae,Agonoxenidae,Agonoxena,phoenicia,Australia,Archontophoenix alexandrae,Agonoxena phoenicia
Arecaceae,Cocos,nucifera,Agonoxenidae,Agonoxena,argaula,Fiji,Cocos nucifera,Agonoxena argaula
Arecaceae,Pritchardia,,Agonoxenidae,Agonoxena,argaula,Hawaii,Pritchardia,Agonoxena argaula
Araucariaceae,Agathis,vitiensis,Agathiphagidae,Agathiphaga,vitiensis,Fiji,Agathis vitiensis,Agathiphaga vitiensis
Lamiaceae,Ballota,nigra,Adelidae,Nemophora,fasciella,British Isles,Ballota nigra,Nemophora fasciella
Rosaceae,Crataegus,,Agonoxenidae,Blastodacna,curvilineella,Nearctic,Crataegus,Blastodacna curvilineella
Arecaceae,Cocos,nucifera,Agonoxenidae,Agonoxena,pyrogramma,Solomon Islands,Cocos nucifera,Agonoxena pyrogramma
Arecaceae,Metroxylon,,Agonoxenidae,Agonoxena,miniana,Indonesia,Metroxylon,Agonoxena miniana
Euphorbiaceae,Croton,capitatus,Agonoxenidae,Aetia,bipunctella,Nearctic,Croton capitatus,Aetia bipunctella
Dipsacaceae,Knautia,,Adelidae,Nemophora,metallica,British Isles,Knautia,Nemophora metallica
Combretaceae,Terminalia,edulis,Agonoxenidae,Blastodacna,erebopis,Indonesia,Terminalia edulis,Blastodacna erebopis
Rosaceae,Malus,,Agonoxenidae,Blastodacna,atra,British Isles,Malus,Blastodacna atra
Arecaceae,Cocos,nucifera,Agonoxenidae,Agonoxena,pyrogramma,Indo-Australian,Cocos nucifera,Agonoxena pyrogramma
Arecaceae,Mascarena,revaughnii,Agonoxenidae,Agonoxena,argaula,Hawaii,Mascarena revaughnii,Agonoxena argaula
Araucariaceae,Agathis,macrophylla,Agathiphagidae,Agathiphaga,vitiensis,Solomon Islands,Agathis macrophylla,Agathiphaga vitiensis
Rosaceae,Pyrus,,Agonoxenidae,Blastodacna,libanotica,Lebanon,Pyrus,Blastodacna libanotica
Rosaceae,Crataegus,,Agonoxenidae,Blastodacna,curvilineella,Nearctic,Crataegus,Blastodacna curvilineella
Rosaceae,Crataegus,,Agonoxenidae,Blastodacna,atra,Palaearctic,Crataegus,Blastodacna atra
Rosaceae,Malus,pumila,Agonoxenidae,Blastodacna,atra,Palaearctic,Malus pumila,Blastodacna atra
Arecaceae,Cocos,nucifera,Agonoxenidae,Agonoxena,argaula,Australasia,Cocos nucifera,Agonoxena argaula
Salicaceae,Salix,,Agonoxenidae,Chrysoclista,cambiella,Nearctic,Salix,Chrysoclista cambiella
Salicaceae,Salix,alba,Agonoxenidae,Chrysoclista,lathamella,British Isles,Salix alba,Chrysoclista lathamella
Rosaceae,Crataegus,,Agonoxenidae,Blastodacna,hellerella,British Isles,Crataegus,Blastodacna hellerella
Ebenaceae,Diospyros,kaki,Agonoxenidae,Blastodacna,pyrigalla,Korea,Diospyros kaki,Blastodacna pyrigalla
Arecaceae,Cocos,nucifera,Agonoxenidae,Agonoxena,argaula,Hawaii,Cocos nucifera,Agonoxena argaula
Rosaceae,Crataegus,,Agonoxenidae,Chrysoclista,flavicaput,Palaearctic,Crataegus,Chrysoclista flavicaput
Tiliaceae,Tilia,x vulgaris,Agonoxenidae,Chrysoclista,linneella,USA,Tilia x vulgaris,Chrysoclista linneella
Rosaceae,Crataegus,,Agonoxenidae,Blastodacna,libanotica,Lebanon,Crataegus,Blastodacna libanotica
Rosaceae,Prunus,persica,Agonoxenidae,Blastodacna,pyrigalla,Korea,Prunus persica,Blastodacna pyrigalla
Arecaceae,Pritchardia,pacifica,Agonoxenidae,Agonoxena,argaula,Fiji,Pritchardia pacifica,Agonoxena argaula
Tiliaceae,Tilia,,Agonoxenidae,Chrysoclista,linneella,British Isles,Tilia,Chrysoclista linneella
Tiliaceae,Tilia,x vulgaris,Agonoxenidae,Chrysoclista,linneella,Nearctic,Tilia x vulgaris,Chrysoclista linneella
Rosaceae,Malus,sylvestris,Agonoxenidae,Blastodacna,vinolentella,Palaearctic,Malus sylvestris,Blastodacna vinolentella
Rosaceae,Pyrus,pyrifolia,Agonoxenidae,Blastodacna,pyrigalla,Korea,Pyrus pyrifolia,Blastodacna pyrigalla
Arecaceae,Cocos,nucifera,Agonoxenidae,Agonoxena,miniana,Indo-Australian,Cocos nucifera,Agonoxena miniana
Fabaceae,Dalbergia,sissoo,Agonoxenidae,Cladobrostis,melitricha,India,Dalbergia sissoo,Cladobrostis melitricha
Ericaceae,Lyonia,,Agonoxenidae,Chrysoclista,villella,Nearctic,Lyonia,Chrysoclista villella
Ericaceae,Lyonia,ligustrina,Agonoxenidae,Chrysoclista,villella,Nearctic,Lyonia ligustrina,Chrysoclista villella
Salicaceae,Salix,,Agonoxenidae,Chrysoclista,cambiella,Nearctic,Salix,Chrysoclista cambiella
Arecaceae,Archontophoenix,,Agonoxenidae,Agonoxena,phoenicia,Australia,Archontophoenix,Agonoxena phoenicia
Myrtaceae,Psidium,guajava,Agonoxenidae,Microcolona,technographa,India,Psidium guajava,Microcolona technographa
Myrtaceae,Psidium,guajava,Agonoxenidae,Microcolona,technographa,India,Psidium guajava,Microcolona technographa
Fabaceae,Dalbergia,sissoo,Agonoxenidae,Cladobrostis,melitricha,India,Dalbergia sissoo,Cladobrostis melitricha
Salicaceae,Salix,alba,Agonoxenidae,Chrysoclista,lathamella,Palaearctic,Salix alba,Chrysoclista lathamella
Rosaceae,Crataegus,,Agonoxenidae,Blastodacna,hellerella,Palaearctic,Crataegus,Blastodacna hellerella
Theaceae,Camellia,sinensis,Agonoxenidae,Parametriotes,theae,Old World,Camellia sinensis,Parametriotes theae
Fabaceae,Mimosa,invisa,Agonoxenidae,Prochola,,Colombia,Mimosa invisa,Prochola
Fagaceae,Quercus,,Agonoxenidae,Dystebenna,stephensi,British Isles,Quercus,Dystebenna stephensi
Tiliaceae,Tilia,,Agonoxenidae,Chrysoclista,linneella,Holarctic,Tilia,Chrysoclista linneella
Rosaceae,Malus,pumila,Agonoxenidae,Blastodacna,hellerella,Palaearctic,Malus pumila,Blastodacna hellerella
Lamiaceae,Stachys,recta,Alucitidae,Alucita,,Europe,Stachys recta,Alucita
Fabaceae,Abrus,precatorius,Agonoxenidae,Prochola,conspersa,Neotropical,Abrus precatorius,Prochola conspersa
Combretaceae,Terminalia,sericea,Agonoxenidae,Microcolona,pantomima,South Africa,Terminalia sericea,Microcolona pantomima
Fabaceae,Dalbergia,sissoo,Agonoxenidae,Cladobrostis,melitricha,India,Dalbergia sissoo,Cladobrostis melitricha
Tiliaceae,Tilia,,Agonoxenidae,Chrysoclista,linneella,USA,Tilia,Chrysoclista linneella
Dipsacaceae,Scabiosa,columbaria,Alucitidae,Alucita,huebneri,Palaearctic,Scabiosa columbaria,Alucita huebneri
Rubiaceae,Canthium,,Alucitidae,Alucita,,Australia,Canthium,Alucita
Theaceae,Camellia,sinensis,Agonoxenidae,Parametriotes,theae,Palaearctic,Camellia sinensis,Parametriotes theae
Fabaceae,Dalbergia,sissoo,Agonoxenidae,Cladobrostis,melitricha,India,Dalbergia sissoo,Cladobrostis melitricha
Fabaceae,Sindora,siamensis,Agonoxenidae,Cladobrostis,melitricha,Thailand,Sindora siamensis,Cladobrostis melitricha
Caprifoliaceae,Lonicera,nummulariifolia,Alucitidae,Alucita,lonicericola,Tadjikistan,Lonicera nummulariifolia,Alucita lonicericola
Lamiaceae,Stachys,alpina,Alucitidae,Alucita,,Europe,Stachys alpina,Alucita
Asteraceae,Centaurea,jacea,Alucitidae,Alucita,,Europe,Centaurea jacea,Alucita
Myrtaceae,Psidium,,Agonoxenidae,Microcolona,leucosticta,India,Psidium,Microcolona leucosticta
Melastomataceae,Melastoma,malabathricum,Agonoxenidae,Microcolona,,West Malaysia,Melastoma malabathricum,Microcolona
Rubiaceae,Canthium,odoratum,Alucitidae,Alucita,objurgatella,Hawaii,Canthium odoratum,Alucita objurgatella
Lamiaceae,Stachys,sylvatica,Alucitidae,Alucita,,Europe,Stachys sylvatica,Alucita
Lamiaceae,Stachys,sylvatica,Alucitidae,Alucita,desmodactyla,Palaearctic,Stachys sylvatica,Alucita desmodactyla
Dipterocarpaceae,Hopea,ponga,Agonoxenidae,Microcolona,sp.,India,Hopea ponga,Microcolona sp.
Myrtaceae,Syzygium,cumini,Agonoxenidae,Microcolona,citroplecta,India,Syzygium cumini,Microcolona citroplecta
Bignoniaceae,Pandorea,,Alucitidae,Alucita,phricodes,Australia,Pandorea,Alucita phricodes
Verbenaceae,Vitex,altissima,Alucitidae,Alucita,,Sri Lanka,Vitex altissima,Alucita
Caprifoliaceae,Lonicera,,Alucitidae,Alucita,hexadactyla,Netherlands,Lonicera,Alucita hexadactyla
Theaceae,Camellia,sinensis,Agonoxenidae,Parametriotes,theae,Turkey,Camellia sinensis,Parametriotes theae
Myrtaceae,Psidium,,Agonoxenidae,Microcolona,leucosticta,India,Psidium,Microcolona leucosticta
Rubiaceae,Canthium,,Alucitidae,Alucita,pygmaea,Australia,Canthium,Alucita pygmaea
Lamiaceae,Stachys,,Alucitidae,Alucita,,Europe,Stachys,Alucita
Caprifoliaceae,Lonicera,,Alucitidae,Alucita,hexadactyla,Palaearctic,Lonicera,Alucita hexadactyla
Rosaceae,Crataegus,,Agonoxenidae,Spuleria,flavicaput,British Isles,Crataegus,Spuleria flavicaput
Myrtaceae,Psidium,guajava,Agonoxenidae,Microcolona,leucosticta,India,Psidium guajava,Microcolona leucosticta
Fabaceae,Jacksonia,,Anthelidae,Anthela,guenei,Australia,Jacksonia,Anthela guenei
Dipsacaceae,Knautia,arvensis,Alucitidae,Alucita,huebneri,Europe,Knautia arvensis,Alucita huebneri
Asteraceae,Centaurea,jacea,Alucitidae,Alucita,huebneri,Europe,Centaurea jacea,Alucita huebneri
Lamiaceae,Colquhounia,coccinea,Alucitidae,Alucita,magadis,Oriental,Colquhounia coccinea,Alucita magadis
Myrtaceae,Psidium,,Agonoxenidae,Microcolona,technographa,India,Psidium,Microcolona technographa
Pinaceae,Pinus,radiata,Anthelidae,Anthela,nicothoe,Australia,Pinus radiata,Anthela nicothoe
Dipsacaceae,Scabiosa,columbaria,Alucitidae,Alucita,huebneri,Europe,Scabiosa columbaria,Alucita huebneri
Rubiaceae,Coffea,arabica,Alucitidae,Alucita,sp.,East Africa,Coffea arabica,Alucita sp.
Rubiaceae,Plectroniella,golungensis,Alucitidae,Alucita,molliflua,Afrotropical,Plectroniella golungensis,Alucita molliflua
Myrtaceae,Psidium,guajava,Agonoxenidae,Microcolona,technographa,India,Psidium guajava,Microcolona technographa
Caprifoliaceae,Lonicera,korolkowii,Alucitidae,Alucita,lonicericola,Tadjikistan,Lonicera korolkowii,Alucita lonicericola
Caprifoliaceae,Lonicera,quinquelocularis,Alucitidae,Alucita,spilodesma,Pakistan,Lonicera quinquelocularis,Alucita spilodesma
Caprifoliaceae,Lonicera,,Alucitidae,Alucita,spilodesma,India,Lonicera,Alucita spilodesma
Dennstaedtiaceae,Pteridium,,Agonoxenidae,Microcolona?,,New Guinea,Pteridium,Microcolona?
Rubiaceae,Canthium,vulgare,Alucitidae,Alucita,molliflua,East Africa,Canthium vulgare,Alucita molliflua
Poaceae,Saccharum,officinarum,Anthelidae,Anthela,acuta,Australia,Saccharum officinarum,Anthela acuta
Caprifoliaceae,Lonicera,,Alucitidae,Alucita,spilodesma,Pakistan,Lonicera,Alucita spilodesma
Caprifoliaceae,Lonicera,,Alucitidae,Alucita,,Europe,Lonicera,Alucita
Lythraceae,Lafoensia,pacari,Apatelodidae,Apatelodes,pandarioides,Brazil,Lafoensia pacari,Apatelodes pandarioides
Bignoniaceae,Pandorea,jasminoides,Alucitidae,Alucita,phricodes,Australia,Pandorea jasminoides,Alucita phricodes
Caprifoliaceae,Lonicera,,Alucitidae,Pterotopteryx,dodecadactyla,Palaearctic,Lonicera,Pterotopteryx dodecadactyla
Rubiaceae,Hypobathrum,,Alucitidae,Alucita,cyanophanes,Indonesia,Hypobathrum,Alucita cyanophanes
Flacourtiaceae,Casearia,sylvestris,Apatelodidae,Apatelodes,paraguayana,Brazil,Casearia sylvestris,Apatelodes paraguayana
Euphorbiaceae,Drypetes,australasica,Alucitidae,Alucita,pygmaea,Australia,Drypetes australasica,Alucita pygmaea
Pinaceae,Pinus,radiata,Anthelidae,Anthela,excellens,Australia,Pinus radiata,Anthela excellens
Pinaceae,Pinus,patula,Anthelidae,Anthela,ekeikei,New Guinea,Pinus patula,Anthela ekeikei
Lamiaceae,Ballota,bullata,Alucitidae,Alucita,desmodactyla,Palaearctic,Ballota bullata,Alucita desmodactyla
Corylaceae,Carpinus,caroliniana,Apatelodidae,Apatelodes,torrefacta,Nearctic,Carpinus caroliniana,Apatelodes torrefacta
Fabaceae,Acacia,,Anthelidae,Anthela,asciscens,Australia,Acacia,Anthela asciscens
Fabaceae,Acacia,,Anthelidae,Anthela,guenei,Australia,Acacia,Anthela guenei
Lamiaceae,Stachys,alpina,Alucitidae,Alucita,desmodactyla,Palaearctic,Stachys alpina,Alucita desmodactyla
Corylaceae,Corylus,,Apatelodidae,Apatelodes,torrefacta,Nearctic,Corylus,Apatelodes torrefacta
Fabaceae,Acacia,,Anthelidae,Anthela,nicothoe,Australia,Acacia,Anthela nicothoe
Fabaceae,Acacia,,Anthelidae,Anthela,magnifica,Australia,Acacia,Anthela magnifica
Caprifoliaceae,Lonicera,periclymenum,Alucitidae,Alucita,hexadactyla,British Isles,Lonicera periclymenum,Alucita hexadactyla
Oleaceae,Fraxinus,,Apatelodidae,Apatelodes,torrefacta,Nearctic,Fraxinus,Apatelodes torrefacta
Fabaceae,Acacia,,Anthelidae,Anthela,excellens,Australia,Acacia,Anthela excellens
Pinaceae,Pinus,radiata,Anthelidae,Anthela,ocellata,Australia,Pinus radiata,Anthela ocellata
Lamiaceae,Colquhounia,coccinea,Alucitidae,Alucita,magadis,India,Colquhounia coccinea,Alucita magadis
Aquifoliaceae,Ilex,glabra,Apatelodidae,Apatelodes,torrefacta,Nearctic,Ilex glabra,Apatelodes torrefacta
Santalaceae,Choretrum,,Anthelidae,Chelepteryx,chalepteryx,Australia,Choretrum,Chelepteryx chalepteryx
Fabaceae,Acacia,,Anthelidae,Anthela,postica,Australia,Acacia,Anthela postica
Proteaceae,Macadamia,tetraphylla,Anthelidae,Anthela,varia,Australia,Macadamia tetraphylla,Anthela varia
Oliniaceae,Olinia,odorata,Alucitidae,Alucita,objurgatella,Hawaii,Olinia odorata,Alucita objurgatella
Lauraceae,Lindera,benzoin,Apatelodidae,Apatelodes,torrefacta,USA,Lindera benzoin,Apatelodes torrefacta
Santalaceae,Exocarpos,,Anthelidae,Chelepteryx,chalepteryx,Australia,Exocarpos,Chelepteryx chalepteryx
Juglandaceae,Carya,,Anthelidae,Anthela,varia,Australia,Carya,Anthela varia
Pinaceae,Pinus,radiata,Anthelidae,Chelepteryx,chalepteryx,Australia,Pinus radiata,Chelepteryx chalepteryx
Verbenaceae,Vitex,trifolia,Alucitidae,Alucita,pygmaea,Fiji,Vitex trifolia,Alucita pygmaea
Myricaceae,Myrica,pensylvanica,Apatelodidae,Apatelodes,torrefacta,USA,Myrica pensylvanica,Apatelodes torrefacta
Myrtaceae,Eucalyptus,,Anthelidae,Chelepteryx,collesi,Australia,Eucalyptus,Chelepteryx collesi
Myrtaceae,Eucalyptus,,Anthelidae,Anthela,varia,Australia,Eucalyptus,Anthela varia
Myrtaceae,Eucalyptus,,Anthelidae,Chelepteryx,collesi,Australia,Eucalyptus,Chelepteryx collesi
Fabaceae,Acacia,dealbata,Anthelidae,Anthela,nicothoe,Australia,Acacia dealbata,Anthela nicothoe
Rosaceae,Prunus,domestica,Apatelodidae,Apatelodes,torrefacta,Nearctic,Prunus domestica,Apatelodes torrefacta
Myrtaceae,Eucalyptus,,Anthelidae,Chenuala,heliaspis,Australia,Eucalyptus,Chenuala heliaspis
Salicaceae,Salix,,Anthelidae,Anthela,varia,Australia,Salix,Anthela varia
Pinaceae,Pinus,patula,Anthelidae,Chenuala,heliaspis,Australia,Pinus patula,Chenuala heliaspis
Fabaceae,Acacia,,Anthelidae,Anthela,repleta,Australia,Acacia,Anthela repleta
Fabaceae,Acacia,,Anthelidae,Nataxa,flavescens,Australia,Acacia,Nataxa flavescens
Fabaceae,Acacia,,Anthelidae,Anthela,xantharca,Australia,Acacia,Anthela xantharca
Pinaceae,Pinus,patula,Anthelidae,Chenuala,heliaspis,Australia,Pinus patula,Chenuala heliaspis
Pinaceae,Pinus,,Anthelidae,Chenuala,heliaspis,Australia,Pinus,Chenuala heliaspis
Rosaceae,Prunus,virginiana,Apatelodidae,Apatelodes,torrefacta,USA,Prunus virginiana,Apatelodes torrefacta
Fabaceae,Acacia,,Anthelidae,Pterolocera,isogama,Australia,Acacia,Pterolocera isogama
Fabaceae,Acacia,,Anthelidae,Chelepteryx,chalepteryx,Australia,Acacia,Chelepteryx chalepteryx
Pinaceae,Pinus,radiata,Anthelidae,Chenuala,heliaspis,Australia,Pinus radiata,Chenuala heliaspis
Casuarinaceae,Casuarina,,Anthelidae,Munychryia,periclyta,Australia,Casuarina,Munychryia periclyta
Fagaceae,Quercus,,Apatelodidae,Apatelodes,torrefacta,Nearctic,Quercus,Apatelodes torrefacta
Fabaceae,Acacia,,Anthelidae,Chelepteryx,chalepteryx,Australia,Acacia,Chelepteryx chalepteryx
Betulaceae,Alnus,,Apatelodidae,Apatelodes,torrefacta,Nearctic,Alnus,Apatelodes torrefacta
Myrtaceae,Eucalyptus,,Apatelodidae,Apatelodes,sericea,Brazil,Eucalyptus,Apatelodes sericea
Fabaceae,Trifolium,,Anthelidae,Pterolocera,spp.,Australia,Trifolium,Pterolocera spp.
Fabaceae,Acacia,,Anthelidae,Chenuala,heliaspis,Australia,Acacia,Chenuala heliaspis
Caricaceae,Carica,papaya,Apatelodidae,Apatelodes,torrefacta,Nearctic,Carica papaya,Apatelodes torrefacta
Aceraceae,Acer,,Apatelodidae,Apatelodes,torrefacta,USA,Acer,Apatelodes torrefacta
Rosaceae,Rubus,allegheniensis,Apatelodidae,Apatelodes,torrefacta,Nearctic,Rubus allegheniensis,Apatelodes torrefacta
Aceraceae,Acer,,Apatelodidae,Apatelodes,torrefacta,Nearctic,Acer,Apatelodes torrefacta
Myrtaceae,Eucalyptus,,Anthelidae,Chenuala,heliaspis,Australia,Eucalyptus,Chenuala heliaspis
Corylaceae,Carpinus,caroliniana,Apatelodidae,Apatelodes,torrefacta,USA,Carpinus caroliniana,Apatelodes torrefacta
Rosaceae,Prunus,,Apatelodidae,Apatelodes,torrefacta,USA,Prunus,Apatelodes torrefacta
Lauraceae,Sassafras,albidum,Apatelodidae,Apatelodes,torrefacta,Nearctic,Sassafras albidum,Apatelodes torrefacta
Betulaceae,Alnus,,Apatelodidae,Apatelodes,torrefacta,USA,Alnus,Apatelodes torrefacta
Pinaceae,Pinus,engelmannii,Anthelidae,Chenuala,heliaspis,Australia,Pinus engelmannii,Chenuala heliaspis
Myricaceae,Myrica,cerifera,Apatelodidae,Apatelodes,torrefacta,Nearctic,Myrica cerifera,Apatelodes torrefacta
Rosaceae,Prunus,serotina,Apatelodidae,Apatelodes,torrefacta,USA,Prunus serotina,Apatelodes torrefacta
Fabaceae,Strophostyles,helvula,Apatelodidae,Apatelodes,torrefacta,Nearctic,Strophostyles helvula,Apatelodes torrefacta
Corylaceae,Corylus,,Apatelodidae,Apatelodes,torrefacta,USA,Corylus,Apatelodes torrefacta
Casuarinaceae,Casuarina,,Anthelidae,Munychryia,senicula,Australia,Casuarina,Munychryia senicula
Rosaceae,Rubus,,Apatelodidae,Apatelodes,torrefacta,USA,Rubus,Apatelodes torrefacta
Caprifoliaceae,Viburnum,,Apatelodidae,Apatelodes,torrefacta,USA,Viburnum,Apatelodes torrefacta
Oleaceae,Fraxinus,,Apatelodidae,Apatelodes,torrefacta,USA,Fraxinus,Apatelodes torrefacta
Betulaceae,Alnus,incana,Apatelodidae,Apatelodes,torrefacta,Nearctic,Alnus incana,Apatelodes torrefacta
Rosaceae,Prunus,maritima,Apatelodidae,Apatelodes,torrefacta,Nearctic,Prunus maritima,Apatelodes torrefacta
Caprifoliaceae,Viburnum,,Apatelodidae,Apatelodes,torrefacta,Nearctic,Viburnum,Apatelodes torrefacta
Lauraceae,Lindera,benzoin,Apatelodidae,Apatelodes,torrefacta,Nearctic,Lindera benzoin,Apatelodes torrefacta
Betulaceae,Alnus,serrulata,Apatelodidae,Apatelodes,torrefacta,Nearctic,Alnus serrulata,Apatelodes torrefacta
Ericaceae,Rhododendron,,Apatelodidae,Apatelodes,torrefacta,USA,Rhododendron,Apatelodes torrefacta
