plant_family,plant_genus,plant_species,insect_family,insect_genus,insect_species,location,host_plant_name,insect_name
Plantaginaceae,Plantago,albicans,Nymphalidae,Mellicta,parthenoides,Spain,Plantago albicans,Mellicta parthenoides
Poaceae,Elymus,caninus,Nymphalidae,Lasiommata,petropolitana,Finland,Elymus caninus,Lasiommata petropolitana
Acanthaceae,Hygrophila,,Nymphalidae,Junonia,terea,Afrotropical,Hygrophila,Junonia terea
Urticaceae,Urera,hypselodendron,Nymphalidae,Hypolimnas,anthedon,East Africa,Urera hypselodendron,Hypolimnas anthedon
Acanthaceae,Asystasia,,Nymphalidae,Junonia,westermanni,Afrotropical,Asystasia,Junonia westermanni
Plantaginaceae,Plantago,lanceolata,Nymphalidae,Mellicta,parthenoides,Spain,Plantago lanceolata,Mellicta parthenoides
Hypericaceae,Cratoxylum,,Nymphalidae,Lasippa,tiga,West Malaysia,Cratoxylum,Lasippa tiga
Acanthaceae,Hygrophila,,Nymphalidae,Junonia,terea,West Africa,Hygrophila,Junonia terea
Acanthaceae,Asystasia,schimperi,Nymphalidae,Junonia,westermanni,East Africa,Asystasia schimperi,Junonia westermanni
Plantaginaceae,Veronica,,Nymphalidae,Mellicta,parthenoides,Spain,Veronica,Mellicta parthenoides
Poaceae,Sinarundinaria,niitakayamensis,Nymphalidae,Lethe,chandica,Taiwan,Sinarundinaria niitakayamensis,Lethe chandica
Lamiaceae,Englerastrum,,Nymphalidae,Junonia,tugela,Afrotropical,Englerastrum,Junonia tugela
Malvaceae,Abutilon,,Nymphalidae,Hypolimnas,bolina,Afrotropical,Abutilon,Hypolimnas bolina
Acanthaceae,Ruellia,,Nymphalidae,Junonia,westermanni,East Africa,Ruellia,Junonia westermanni
Euphorbiaceae,Croton,,Nymphalidae,Memphis,arginussa,Costa Rica,Croton,Memphis arginussa
Poaceae,Sinarundinaria,niitakayamensis,Nymphalidae,Lethe,christophi,Taiwan,Sinarundinaria niitakayamensis,Lethe christophi
Lamiaceae,Englerastrum,,Nymphalidae,Junonia,tugela,Afrotropical,Englerastrum,Junonia tugela
